agents,originX,originY,destinationX,destinationY,hr,departure_time_sec,from_facility,to_facility
5101000,-77.16024534615954,38.89585719811798,-77.14034683360275,38.88533577923303,am7to8,25753,home_51_344,17416
5101000,-77.14034683360275,38.88533577923303,-77.16024534615954,38.89585719811798,pm4to12,65353,17416,home_51_344
5101000,-77.16024534615954,38.89585719811798,-77.14374376676697,38.9094962310346,pm4to12,69253,home_51_344,34234
5101000,-77.14374376676697,38.9094962310346,-77.16024534615954,38.89585719811798,pm4to12,72853,34234,home_51_344
5101006623,-77.36297127643105,38.98528625206575,-76.90577957470055,38.81467193380202,am8to9,31834,home_51_378217,45080
5101006623,-76.90577957470055,38.81467193380202,-77.01921114305372,38.84164497058267,am8to9,32134,45080,61493
5101006623,-77.01921114305372,38.84164497058267,-77.36297127643105,38.98528625206575,pm4to12,63034,61493,home_51_378217
5101012137,-77.35445526188825,38.979356109829645,-77.38006857127226,39.002048051892324,am8to9,30360,home_51_380325,84119
5101012137,-77.38006857127226,39.002048051892324,-77.23872054022719,38.842501264254906,am8to9,30660,84119,62671
5101012137,-77.23872054022719,38.842501264254906,-77.11546460027802,38.88070851068432,am11to12,42060,62671,34919
5101012137,-77.11546460027802,38.88070851068432,-77.35445526188825,38.979356109829645,pm4to12,65160,34919,home_51_380325
5101012299,-77.35721590061382,38.969879720909326,-77.17484517734265,38.90948735169896,am9to10,33313,home_51_380404,64983
5101012299,-77.17484517734265,38.90948735169896,-77.35721590061382,38.969879720909326,pm4to12,65413,64983,home_51_380404
5101012709,-77.35868400147159,38.96914870156378,-77.33604083782065,38.834357764514365,am7to8,26311,home_51_380598,38071
5101012709,-77.33604083782065,38.834357764514365,-77.28291272598761,39.054337643452214,am9to10,32911,38071,69733
5101012709,-77.28291272598761,39.054337643452214,-77.17724100034665,38.88688801279488,am10to11,38611,69733,33807
5101012709,-77.17724100034665,38.88688801279488,-77.35868400147159,38.96914870156378,pm4to12,59611,33807,home_51_380598
5101012709,-77.35868400147159,38.96914870156378,-77.39827390069206,38.98191822323862,pm4to12,62911,home_51_380598,10923
5101012709,-77.39827390069206,38.98191822323862,-77.35868400147159,38.96914870156378,pm4to12,69211,10923,home_51_380598
5101013088,-77.35185504844303,38.977573293163765,-77.34496990059323,38.94457862025325,am6to7,21648,home_51_380782,15626
5101013088,-77.34496990059323,38.94457862025325,-77.40066933647014,38.96257884923731,pm12to4,54048,15626,28099
5101013088,-77.40066933647014,38.96257884923731,-77.35185504844303,38.977573293163765,pm4to12,60048,28099,home_51_380782
5101015990,-77.37958592731759,38.97468931608639,-77.38892224984339,38.96452861166221,am7to8,28424,home_51_381993,16551
5101015990,-77.38892224984339,38.96452861166221,-77.35628752748462,38.98935103997461,am7to8,28724,16551,60948
5101015990,-77.35628752748462,38.98935103997461,-77.34028730057841,38.96893721999414,am8to9,29324,60948,52402
5101015990,-77.34028730057841,38.96893721999414,-77.31681310445596,38.977119052733336,am11to12,42824,52402,31570
5101015990,-77.31681310445596,38.977119052733336,-77.34028730057841,38.96893721999414,pm12to4,44024,31570,52402
5101015990,-77.34028730057841,38.96893721999414,-77.37958592731759,38.97468931608639,pm4to12,61124,52402,home_51_381993
5101016422,-77.38301567534165,38.97711055567322,-77.36469410187071,38.971307137732786,am8to9,29352,home_51_382122,64347
5101016422,-77.36469410187071,38.971307137732786,-77.38301567534165,38.97711055567322,am10to11,37152,64347,home_51_382122
5101016422,-77.38301567534165,38.97711055567322,-77.12871990758575,38.85349849227261,am11to12,40152,home_51_382122,14867
5101016422,-77.12871990758575,38.85349849227261,-77.38301567534165,38.97711055567322,pm12to4,49752,14867,home_51_382122
5101016422,-77.38301567534165,38.97711055567322,-77.12871990758575,38.85349849227261,pm12to4,52452,home_51_382122,14867
5101016422,-77.12871990758575,38.85349849227261,-77.38301567534165,38.97711055567322,pm4to12,66852,14867,home_51_382122
